data,temp,humidity,rainfall
2003-09-02,12.1,70.8,1004.4
2003-09-03,11.7,64.9,1012.3
2003-09-04,14.3,72.3,1011.5
2003-09-05,14.2,72.8,1010.8
2003-09-06,15.1,63.9,1008.2
2003-09-07,16.3,58.0,1004.5
2003-09-08,17.3,53.9,997.2
2003-09-09,17.5,55.8,995.0
2003-09-10,14.0,92.5,998.1
2003-09-11,11.3,92.4,996.9
2003-09-12,11.9,80.5,1005.2
2003-09-13,13.9,95.8,1010.7
2003-09-14,13.7,82.0,1016.1
2003-09-15,13.1,76.4,1014.6
2003-09-16,13.6,79.5,1008.7
2003-09-17,15.7,76.9,1007.7
2003-09-18,16.0,72.6,1008.0
2003-09-19,19.2,64.4,1005.9
2003-09-20,18.9,67.8,1008.5
2003-09-21,20.4,61.0,1005.0
2003-09-22,19.6,60.8,1000.4
2003-09-23,17.7,67.6,994.9
2003-09-24,10.9,72.6,1012.5
2003-09-25,9.4,72.1,1018.1
2003-09-26,10.2,67.0,1009.9
2003-09-27,11.9,69.5,1002.5
2003-09-28,13.4,73.3,1000.5
2003-09-29,12.5,85.1,995.7
2003-09-30,10.7,84.0,1002.0
2003-10-01,10.4,79.5,1002.5
2003-10-02,11.8,90.6,996.2
2003-10-03,13.0,82.5,996.1
2003-10-04,12.9,86.3,988.3
2003-10-05,7.3,95.5,989.0
2003-10-06,8.6,78.4,993.3
2003-10-07,9.8,69.3,984.7
2003-10-08,8.1,84.5,986.8
2003-10-09,8.2,85.4,990.4
2003-10-10,11.0,85.5,997.9
2003-10-11,12.5,67.4,1002.5
2003-10-12,8.8,73.8,1008.4
2003-10-13,7.1,81.3,1010.8
2003-10-14,5.2,83.8,1014.5
2003-10-15,7.3,84.3,1016.6
2003-10-16,4.9,84.9,1017.3
2003-10-17,2.0,87.3,1017.8
2003-10-18,2.4,81.3,1008.4
2003-10-19,3.7,78.1,997.9
2003-10-20,5.8,76.9,988.9
2003-10-21,4.7,96.5,989.5
2003-10-22,2.8,92.4,1000.4
2003-10-23,-1.5,84.1,1000.3
2003-10-24,-2.6,83.0,1001.4
2003-10-25,1.7,65.8,1000.0
2003-10-26,4.6,84.6,996.0
2003-10-27,0.8,91.9,1004.9
2003-10-28,1.1,78.5,1006.3
2003-10-29,3.0,74.4,992.7
2003-10-30,4.2,85.3,980.2
2003-10-31,4.6,86.1,980.8